epoch,time(s),train_loss,test_loss,test_error(%)
001,00029,9.609482,1.16825,39.60
002,00029,8.414735,0.93122,32.73
003,00029,6.812079,0.81519,28.93
004,00029,6.839099,0.74469,26.17
005,00029,6.692791,0.71300,25.07
006,00029,6.142971,0.68578,24.10
007,00029,6.282558,0.67136,23.52
008,00029,5.978226,0.66240,23.08
009,00029,6.152437,0.66104,23.21
010,00029,5.855571,0.65974,23.00
