epoch,time(s),train_loss,test_loss,test_error(%)
001,00028,8.202598,0.21372,6.36
002,00029,6.990540,0.22617,6.88
003,00029,6.157484,0.23434,7.04
004,00029,6.518052,0.23970,7.04
005,00029,5.819128,0.24029,7.50
006,00029,5.702624,0.23271,7.17
007,00029,5.655067,0.22928,7.02
008,00029,5.635393,0.22332,6.86
009,00029,5.403047,0.22077,6.82
010,00029,5.272642,0.22150,6.90
