epoch,time(s),train_loss,test_loss,test_error(%)
001,00054,27.992988,2.71612,90.00
002,00055,22.076645,5.65781,90.00
003,00055,20.239646,5.04769,90.00
004,00054,19.129354,4.48243,90.00
005,00054,18.612316,4.10983,90.00
006,00055,18.376640,3.87348,90.00
007,00055,17.894395,3.68691,89.95
008,00055,18.245593,3.63797,89.93
009,00055,18.029269,3.61098,89.93
010,00055,17.637093,3.60489,89.92
