epoch,time(s),train_loss,test_loss,test_error(%)
001,00053,23.205396,2.85565,89.99
002,00053,19.662734,3.48871,89.61
003,00053,18.280440,3.15724,88.14
004,00053,17.671534,2.92129,86.90
005,00053,17.313310,2.76900,85.78
006,00053,17.174321,2.67779,84.81
007,00053,17.004518,2.61656,84.21
008,00053,17.336941,2.58992,83.85
009,00052,16.872160,2.58083,83.82
010,00053,17.023071,2.59126,83.98
