epoch,time(s),train_loss,test_loss,test_error(%)
001,00054,12.315346,0.08943,2.93
002,00054,11.196461,0.07106,2.43
003,00054,11.059392,0.06068,2.07
004,00054,10.884048,0.05454,1.93
005,00054,10.684865,0.05349,1.88
006,00054,10.712120,0.05381,1.90
007,00054,10.504231,0.05105,1.79
008,00054,10.381409,0.05109,1.77
009,00054,10.380748,0.04868,1.69
010,00054,10.008674,0.05160,1.78
