epoch,time(s),train_loss,test_loss,test_error(%)
001,00056,2.036679,1.13617,39.56
002,00057,1.817633,0.96311,33.57
003,00057,1.376948,0.86232,30.22
004,00057,1.442111,0.80784,28.22
005,00056,1.108600,0.77838,27.43
006,00057,1.220260,0.75135,26.40
007,00056,1.128169,0.73388,26.01
008,00057,1.041891,0.72239,25.51
009,00057,1.014909,0.71564,25.09
010,00056,1.094392,0.71649,24.95
