epoch,time(s),train_loss,test_loss,test_error(%)
001,00057,4.519402,0.44923,12.56
002,00058,2.259157,0.36027,11.48
003,00061,1.562391,0.34796,11.76
004,00062,1.457937,0.34249,11.53
005,00062,1.416678,0.33400,11.19
006,00062,1.248378,0.34854,11.92
007,00070,1.345742,0.32063,10.83
008,00073,1.023283,0.31160,10.34
009,00067,1.001397,0.30956,10.36
010,00068,1.070798,0.31007,10.41
