epoch,time(s),train_loss,test_loss,test_error(%)
001,00056,2.875702,0.35188,8.42
002,00056,1.744827,0.29600,8.40
003,00057,1.450430,0.28158,9.06
004,00056,1.417864,0.27297,9.27
005,00057,1.168088,0.27011,9.13
006,00057,1.197308,0.26658,9.01
007,00062,1.050762,0.27144,9.30
008,00059,1.067468,0.26838,9.36
009,00055,1.129745,0.26515,9.17
010,00055,0.989156,0.26680,9.23
