epoch,time(s),train_loss,test_loss,test_error(%)
001,00067,1.584399,0.69662,24.24
002,00068,1.181272,0.56218,19.63
003,00068,0.890036,0.51885,17.79
004,00068,0.984826,0.47736,16.53
005,00062,0.805909,0.44141,15.30
006,00061,0.779339,0.42579,14.61
007,00061,0.602657,0.41153,13.88
008,00061,0.559315,0.40853,13.80
009,00059,0.617807,0.40373,13.72
010,00057,0.626168,0.40297,13.84
