epoch,time(s),train_loss,test_loss,test_error(%)
001,00014,28.885334,2.54524,90.00
002,00015,22.899303,5.20325,90.00
003,00014,21.141510,4.54982,90.00
004,00015,20.179597,3.98060,90.00
005,00014,19.491746,3.57885,90.00
006,00014,19.220212,3.32264,90.00
007,00015,18.767070,3.15001,89.96
008,00015,18.893208,3.08694,89.91
009,00014,18.847895,3.06325,89.90
010,00015,18.737969,3.05406,89.88
