epoch,time(s),train_loss,test_loss,test_error(%)
001,00020,13.594168,0.05522,1.78
002,00015,13.107823,0.05469,1.78
003,00015,12.324490,0.04791,1.45
004,00015,12.607281,0.04717,1.42
005,00016,12.747906,0.04693,1.43
006,00015,12.530022,0.04958,1.49
007,00015,12.290037,0.04650,1.42
008,00015,12.175836,0.04644,1.44
009,00015,12.274898,0.04482,1.39
010,00018,12.121367,0.04541,1.42
