epoch,time(s),train_loss,test_loss,test_error(%)
001,00014,14.378654,0.14659,4.34
002,00015,13.866356,0.13138,4.23
003,00015,13.412441,0.12047,4.00
004,00015,14.120748,0.11526,3.91
005,00015,13.630744,0.11578,3.84
006,00015,13.482291,0.11947,4.02
007,00014,13.699399,0.11504,3.85
008,00015,13.271822,0.11559,3.84
009,00015,13.526812,0.11332,3.77
010,00015,13.567809,0.11421,3.85
